"","Id","ym","RET.USD"
"506","135127",1999-09-01,-2.7885
"507","135127",1999-12-01,-9.1644
"508","135127",2000-03-01,-36.8408
"509","135127",2000-06-01,1.2812
"510","135127",2000-09-01,-6.6208
"511","135127",2000-12-01,-20.9658
"512","135127",2001-03-01,-5.5354
"513","135127",2001-06-01,-10.1413
"514","135127",2001-09-01,-13.9675
"515","135127",2001-12-01,9.5258
"516","135127",2002-03-01,-4.6201
"517","135127",2002-06-01,-6.5088
"518","135127",2002-09-01,16.1844
"519","135127",2002-12-01,9.5501
"520","135127",2003-06-01,5.1637
"521","135127",2003-09-01,-17.2447
"522","135127",2003-12-01,16.0977
"523","135127",2004-03-01,-10.6552
"524","135127",2004-06-01,-9.108
"525","135127",2004-09-01,8.9716
"526","135127",2004-12-01,5.2994
"527","135127",2005-03-01,-9.0545
"528","135127",2005-06-01,-4.3834
"529","135127",2005-09-01,-7.9428
"530","135127",2005-12-01,8.0957
"531","135127",2006-03-01,22.8175
"532","135127",2006-06-01,-7.9012
"533","135127",2006-09-01,-1.798
"534","135127",2006-12-01,24.3709
"535","135127",2007-03-01,10.6165
"536","135127",2007-06-01,1.4281
"537","135127",2007-09-01,18.5728
"538","135127",2007-12-01,-5.0863
"539","135127",2008-03-01,6.8052
"540","135127",2008-06-01,4.6397
"541","135127",2008-09-01,9.1259
"542","135127",2009-09-01,3.4843
"543","135127",2010-03-01,-1.0126
"544","135127",2010-06-01,11.1321
"545","135127",2010-12-01,5.5958
"546","135127",2011-03-01,26.7806
"547","135127",2011-06-01,-8.8817
"548","135127",2011-09-01,7.4771
"549","135127",2011-12-01,18.8315
"550","135127",2012-03-01,-16.7411
"551","135127",2012-06-01,-15.6211
"552","135127",2012-09-01,17.6785
"553","135127",2012-12-01,-3.8334
"554","135127",2013-03-01,11.1478
"555","135127",2013-06-01,-0.2928
"556","135127",2013-09-01,10.1016
"557","135127",2013-12-01,5.243
"558","135127",2014-03-01,12.476
"559","135127",2014-06-01,-3.1153
"560","135127",2014-09-01,-5.6706
"561","135127",2014-12-01,4.5754
"562","135127",2015-03-01,-8.3533
"563","135127",2015-06-01,-1.746
"564","135127",2015-09-01,0.7864
"565","135127",2015-12-01,3.7832
"566","135127",2016-03-01,8.3597
"567","135127",2016-06-01,-10.1143
"568","135127",2016-09-01,1.9973
"569","135127",2016-12-01,-2.0939
"570","135127",2017-03-01,13.9
"571","135127",2017-06-01,2.2056
"572","135127",2017-12-01,0.8471
"573","135127",2018-03-01,-0.8519
"574","135127",2018-06-01,-0.4777
"575","135127",2018-09-01,-2.3484
"576","135127",2018-12-01,-6.1524
"577","135127",2019-03-01,1.6601
"578","135127",2019-06-01,-11.8115
"579","135127",2019-12-01,16.1499
"580","135127",2020-09-01,-13.2627
"581","135127",2020-12-01,1.3468
"582","135127",2021-03-01,-1.946
"583","135127",2021-06-01,0.7294
